Filename,Original,Translate
detto_amore.csv,"Amor s  vuole, e par li","L amore cos  decreta, e lo crede giusto,"
detto_amore.csv,Ch i   n ogni guisa parli,che dovrei parlare in questo modo particolare
detto_amore.csv,E ched i  faccia un Detto,"e comporre un detto,"
detto_amore.csv,Che sia per tutto detto,perch  sia   proclamato ovunque
detto_amore.csv,Ch i  l agia ben servito.,quanto bene l ho servito.
detto_amore.csv,"Po  ch e  m ebe inservito,",Da quando mi ha preso al suo servizio
detto_amore.csv,"E ch i  gli feci homaggio,","e gli ho promesso,"
detto_amore.csv,"I  l   tenuto Ho Maggio,",L ho tenuto come mio signore
detto_amore.csv,E ter  giama  senpre ,e lo far  per sempre.
detto_amore.csv,E questo fin asenpr  ,E questo sar  un esempio perfetto
detto_amore.csv,"A ciascun amoroso,","per ogni amante,"
detto_amore.csv,S  c Amor amo roso,in modo che l amore non lo far 
detto_amore.csv,"No gli sia nella fine,","sii amaro con lui alla fine,"
detto_amore.csv,Anzi ch e  metta a fine,ma piuttosto che l Amore gli dar 
detto_amore.csv,"Ci , ch e  disira avere,","l oggetto del suo desiderio,"
detto_amore.csv,Che val me  c altro avere.,che   pi  prezioso di qualsiasi altra cosa.
detto_amore.csv,Ed egli   s  cortese,Ed   cos  cortese
detto_amore.csv,"Che, chi gli sta cortese",che se qualcuno si presenta davanti a lui umilmente
detto_amore.csv,"Od a man giunte avante,","o in posizione di supplica,"
detto_amore.csv,Esso s   l mette avante,aiuter  quello a ottenere
detto_amore.csv,"Di ci  ched e  disira,",qualunque cosa desideri
detto_amore.csv,E di tutto il dis ira.,e toglier  tutto il suo dispiacere.
detto_amore.csv,"Amor non vuol logagio,","L amore non desidera alcun pagamento,"
detto_amore.csv,"Ma e  vuol ben lo gagio,",ma richiede questo impegno 
detto_amore.csv,"Ch    l tu  cuor, si a lu  fermo.",che il tuo cuore gli sia fedele.
detto_amore.csv,Allor dicie   I  t afermo,Poi dice   Te lo concedo
detto_amore.csv,"Di ci , che ttu domandi,",tutto quello che chiedi
detto_amore.csv,Sanza che ttu do mandi .,senza che tu invii regali .
detto_amore.csv,"E  donati in presente,",E subito ti fa un regalo
detto_amore.csv,"Sanz esser in presente,",senza che ci siano doni
detto_amore.csv,Di fino argiento o doro ,"d argento e d oro fini,"
detto_amore.csv,Perch i  a llui m adoro,per cui lo adoro
detto_amore.csv,Come leal Amante.,come devoto amante.
detto_amore.csv,"A llu  fo graze, amante","A lui rendo grazie, perch  amo"
detto_amore.csv,"Quella, che d ogne bene",quella signora che   cos  ben dotata
detto_amore.csv,"  s  guernita bene,",con ogni buona qualit 
detto_amore.csv,Che  n le  non truov uon pare ,che il suo pari non pu  essere trovato 
detto_amore.csv,"E quand ella m apare,","e quando appare davanti a me,"
detto_amore.csv,S  grande gioia mi dona,lei mi d  una gioia cos  grande
detto_amore.csv,Che lo me  cor s adona,che il mio cuore si dona
detto_amore.csv,"A le  senpre servire,","a servirla costantemente,"
detto_amore.csv,"E di le  vo serv ire,",e voglio diventare il suo servitore
detto_amore.csv,Tant   in le  piacimento.,perch  tanto piacere c   in lei.
detto_amore.csv,Non so se piacimento,Non so se vuole
detto_amore.csv,Le sia ched i  la serva ,io per servirla 
