Filename,Original,Translate
trad_divina_commedia_paradiso_1_1.csv,La gloria di colui che tutto move,La gloria di Colui che muove ogni cosa
trad_divina_commedia_paradiso_1_1.csv,"per l'universo penetra, e risplende",Entra nell'universo e splendi
trad_divina_commedia_paradiso_1_1.csv,in una parte più e meno altrove.,In una parte di più e in un'altra di meno.
trad_divina_commedia_paradiso_1_1.csv,Nel ciel che più de la sua luce prende,In quel cielo che la maggior parte della sua luce riceve
trad_divina_commedia_paradiso_1_1.csv,"fu' io, e vidi cose che ridire","Ero io, e le cose vedevano che ripetere"
trad_divina_commedia_paradiso_1_1.csv,né sa né può chi di là sù discende;,né sa chi discende dall'alto;
trad_divina_commedia_paradiso_1_1.csv,"perché appressando sé al suo disire,",Perché avvicinandosi al suo desiderio
trad_divina_commedia_paradiso_1_1.csv,"nostro intelletto si profonda tanto,","Il nostro intelletto si inghiottisce fino ad ora,"
trad_divina_commedia_paradiso_1_1.csv,che dietro la memoria non può ire.,Che dopo di esso la memoria non può andare.
trad_divina_commedia_paradiso_1_1.csv,Veramente quant'io del regno santo,Davvero qualunque cosa del reame santo
trad_divina_commedia_paradiso_1_1.csv,"ne la mia mente potei far tesoro,",Avevo il potere di custodire nella mia mente
trad_divina_commedia_paradiso_1_1.csv,sarà ora materia del mio canto.,Ora diventera' il soggetto della mia canzone.
trad_divina_commedia_paradiso_1_1.csv,"O buono Appollo, a l'ultimo lavoro","O buon Apollo, per quest'ultima meraviglia"
trad_divina_commedia_paradiso_1_1.csv,"fammi del tuo valor sì fatto vaso,",Fa' di me un vaso del tuo potere.
trad_divina_commedia_paradiso_1_1.csv,come dimandi a dar l'amato alloro.,Come chiede l'amato alloro!
trad_divina_commedia_paradiso_1_1.csv,Infino a qui l'un giogo di Parnaso,Un vertice di Parnassus fino ad oggi
trad_divina_commedia_paradiso_1_1.csv,assai mi fu; ma or con amendue,"È stato abbastanza per me, ma ora con entrambi"
trad_divina_commedia_paradiso_1_1.csv,m'è uopo intrar ne l'aringo rimaso.,Devo entrare nell'arena a sinistra.
trad_divina_commedia_paradiso_1_1.csv,"Entra nel petto mio, e spira tue","Entra nel mio seno, tu, e respira"
trad_divina_commedia_paradiso_1_1.csv,sì come quando Marsïa traesti,Come al tempo in cui Marsia hai disegnato
trad_divina_commedia_paradiso_1_1.csv,de la vagina de le membra sue.,Fuori dal fodero di quei suoi arti.
trad_divina_commedia_paradiso_1_1.csv,"O divina virtù, se mi ti presti","O potente divino, prestami te stesso"
trad_divina_commedia_paradiso_1_1.csv,tanto che l'ombra del beato regno,Così che l'ombra del regno benedetto
trad_divina_commedia_paradiso_1_1.csv,"segnata nel mio capo io manifesti,","Incisa nel mio cervello, posso manifestare..."
trad_divina_commedia_paradiso_1_1.csv,vedra'mi al piè del tuo diletto legno,"Tu mi vedrai venire al tuo caro albero,"
trad_divina_commedia_paradiso_1_1.csv,"venire, e coronarmi de le foglie",E poi mi incoronerò con quelle foglie
trad_divina_commedia_paradiso_1_1.csv,che la materia e tu mi farai degno.,Di cui il tema e tu mi renderai degno.
trad_divina_commedia_paradiso_1_1.csv,"Sì rade volte, padre, se ne coglie","Così raramente, Padre, li raccogliamo"
trad_divina_commedia_paradiso_1_1.csv,"per trïunfare o cesare o poeta,","Per il trionfo o di Cesare o di Poeta,"
trad_divina_commedia_paradiso_1_1.csv,"colpa e vergogna de l'umane voglie,","(La colpa e la vergogna delle inclinazioni umane,)"
trad_divina_commedia_paradiso_1_1.csv,che parturir letizia in su la lieta,Che il fogliame di Peneian dovrebbe portare avanti
trad_divina_commedia_paradiso_1_1.csv,delfica deïtà dovria la fronda,"Gioia alla gioiosa divinità Delfica,"
trad_divina_commedia_paradiso_1_1.csv,"peneia, quando alcun di sé asseta.",Quando qualcuno ne fa sete.
trad_divina_commedia_paradiso_1_1.csv,Poca favilla gran fiamma seconda:,Una piccola scintilla è seguita da una grande fiamma;
trad_divina_commedia_paradiso_1_1.csv,forse di retro a me con miglior voci,Forse con voci migliori dopo di me
trad_divina_commedia_paradiso_1_1.csv,si pregherà perché Cirra risponda.,Sarà fatta la preghiera affinché Cirra risponda!
trad_divina_commedia_paradiso_1_1.csv,Surge ai mortali per diverse foci,Agli uomini mortali con passaggi diversi
trad_divina_commedia_paradiso_1_1.csv,la lucerna del mondo; ma da quella,"Risveglia la lampada del mondo, ma da quella"
trad_divina_commedia_paradiso_1_1.csv,"che quattro cerchi giugne con tre croci,","che circonda quattro unite con tre croci,"
trad_divina_commedia_paradiso_1_1.csv,con miglior corso e con migliore stella,Con un corso migliore e con una stella migliore
trad_divina_commedia_paradiso_1_1.csv,"esce congiunta, e la mondana cera",e la cera mondana
trad_divina_commedia_paradiso_1_1.csv,più a suo modo tempera e suggella.,Tempers e francobolli più dopo la sua moda.
