Filename,Original,Translate
trad_divina_commedia_inferno_2_1.csv,Nel mezzo del cammin di nostra vita,"Quando ho viaggiato per meta' della nostra vita,"
trad_divina_commedia_inferno_2_1.csv,"mi ritrovai per una selva oscura,","Mi sono ritrovato in una foresta ombreggiata,"
trad_divina_commedia_inferno_2_1.csv,ché la diritta via era smarrita.,perché avevo perso il sentiero che non si allontana.
trad_divina_commedia_inferno_2_1.csv,Ahi quanto a dir qual era è cosa dura,"Ah, è difficile parlare di quello che era,"
trad_divina_commedia_inferno_2_1.csv,esta selva selvaggia e aspra e forte,"quella foresta selvaggia, densa e difficile,"
trad_divina_commedia_inferno_2_1.csv,che nel pensier rinova la paura!,che anche nel ricordo rinnova il mio timore:
trad_divina_commedia_inferno_2_1.csv,Tant'è amara che poco è più morte;,Quindi la morte amara non e' piu' grave!
trad_divina_commedia_inferno_2_1.csv,"ma per trattar del ben ch'i' vi trovai,","Ma per ripetere il bene scoperto,"
trad_divina_commedia_inferno_2_1.csv,dirò de l'altre cose ch'i' v'ho scorte.,Dirò anche le altre cose che ho visto.
trad_divina_commedia_inferno_2_1.csv,"Io non so ben ridir com'i' v'intrai,",Non posso dire chiaramente come sono entrato
trad_divina_commedia_inferno_2_1.csv,tant'era pien di sonno a quel punto,il legno; ero così pieno di sonno solo a
trad_divina_commedia_inferno_2_1.csv,che la verace via abbandonai.,il punto in cui ho abbandonato il vero sentiero.
trad_divina_commedia_inferno_2_1.csv,"Ma poi ch'i' fui al piè d'un colle giunto,",Ma quando ho raggiunto il fondo di una collina...
trad_divina_commedia_inferno_2_1.csv,là dove terminava quella valle,è salito lungo il confine della valle
trad_divina_commedia_inferno_2_1.csv,"che m'avea di paura il cor compunto,",che aveva tormentato il mio cuore con tanta paura...
trad_divina_commedia_inferno_2_1.csv,guardai in alto e vidi le sue spalle,Ho guardato in alto e ho visto le sue spalle vestite
trad_divina_commedia_inferno_2_1.csv,vestite già de' raggi del pianeta,già dai raggi dello stesso pianeta
trad_divina_commedia_inferno_2_1.csv,che mena dritto altrui per ogne calle.,che serve a condurre gli uomini dritti lungo tutte le strade.
trad_divina_commedia_inferno_2_1.csv,"Allor fu la paura un poco queta,","In questo la mia paura era un po 'tranquilla,"
trad_divina_commedia_inferno_2_1.csv,che nel lago del cor m'era durata,"perché nella notte del dolore avevo speso,"
trad_divina_commedia_inferno_2_1.csv,la notte ch'i' passai con tanta pieta.,il lago nel mio cuore sentiva il terrore presente.
trad_divina_commedia_inferno_2_1.csv,"E come quei che con lena affannata,","E proprio come colui che, con il respiro esausto,"
trad_divina_commedia_inferno_2_1.csv,"uscito fuor del pelago a la riva,","fuggito da mare a riva, torna indietro"
trad_divina_commedia_inferno_2_1.csv,"si volge a l'acqua perigliosa e guata,","per osservare le acque pericolose che ha abbandonato,"
trad_divina_commedia_inferno_2_1.csv,"così l'animo mio, ch'ancor fuggiva,","Cosi' come il mio spirito, ancora un fuggitivo,"
trad_divina_commedia_inferno_2_1.csv,si volse a retro a rimirar lo passo,voltarsi indietro per guardare intensamente al passo
trad_divina_commedia_inferno_2_1.csv,che non lasciò già mai persona viva.,che non ha mai lasciato che un uomo sopravvivesse.
trad_divina_commedia_inferno_2_1.csv,"Poi ch'èi posato un poco il corpo lasso,",Ho lasciato riposare il mio corpo stanco per un po'.
trad_divina_commedia_inferno_2_1.csv,"ripresi via per la piaggia diserta,","Spostandomi di nuovo, ho provato la pendenza solitaria..."
trad_divina_commedia_inferno_2_1.csv,sì che 'l piè fermo sempre era 'l più basso.,Il mio piede fermo e' sempre stato quello sotto.
trad_divina_commedia_inferno_2_1.csv,"Ed ecco, quasi al cominciar de l'erta,",E quasi dove la collina comincia a salire...
trad_divina_commedia_inferno_2_1.csv,"una lonza leggera e presta molto,","Guarda lì! - un leopardo, molto veloce e muto,"
trad_divina_commedia_inferno_2_1.csv,che di pel macolato era coverta;,un leopardo coperto da un nascondiglio macchiato.
trad_divina_commedia_inferno_2_1.csv,"e non mi si partia dinanzi al volto,","Egli non scomparve dalla vista, ma rimase;"
trad_divina_commedia_inferno_2_1.csv,"anzi 'mpediva tanto il mio cammino,","Invero, mi ha impedito di salire."
trad_divina_commedia_inferno_2_1.csv,ch'i' fui per ritornar più volte vòlto.,che spesso dovevo tornare indietro.
trad_divina_commedia_inferno_2_1.csv,"Temp'era dal principio del mattino,",Il tempo era l'inizio della mattinata;
trad_divina_commedia_inferno_2_1.csv,e 'l sol montava 'n sù con quelle stelle,il sole stava sorgendo ora in comunione
trad_divina_commedia_inferno_2_1.csv,ch'eran con lui quando l'amor divino,con le stesse stelle che l'avevano scortata
trad_divina_commedia_inferno_2_1.csv,mosse di prima quelle cose belle;,quando l'Amore Divino ha mosso quelle cose di bellezza per la prima volta;
trad_divina_commedia_inferno_2_1.csv,sì ch'a bene sperar m'era cagione,così che l'ora e la dolce stagione
trad_divina_commedia_inferno_2_1.csv,di quella fiera a la gaetta pelle,mi ha dato una buona causa di speranza nel vedere
trad_divina_commedia_inferno_2_1.csv,l'ora del tempo e la dolce stagione;,quella bestia davanti a me con la sua pelle macchiata;
trad_divina_commedia_inferno_2_1.csv,ma non sì che paura non mi desse,ma la speranza era difficilmente in grado di prevenire
trad_divina_commedia_inferno_2_1.csv,la vista che m'apparve d'un leone.,la paura che provai quando vidi un leone.
trad_divina_commedia_inferno_2_1.csv,Questi parea che contra me venisse,La sua testa teneva alta e nervosa con la fame...
trad_divina_commedia_inferno_2_1.csv,"con la test'alta e con rabbiosa fame,",anche l'aria intorno a lui sembrava tremare.
trad_divina_commedia_inferno_2_1.csv,sì che parea che l'aere ne tremesse.,Questo leone sembrava mettersi contro di me.
trad_divina_commedia_inferno_2_1.csv,"Ed una lupa, che di tutte brame",E poi un lupo-lei si mostrò; sembrò
trad_divina_commedia_inferno_2_1.csv,"sembiava carca ne la sua magrezza,",di portare ogni desiderio nella sua magrità;
trad_divina_commedia_inferno_2_1.csv,"e molte genti fé già viver grame,",aveva già portato disperazione a molti.
trad_divina_commedia_inferno_2_1.csv,questa mi porse tanto di gravezza,La sua stessa vista mi pesava tanto.
trad_divina_commedia_inferno_2_1.csv,"con la paura ch'uscia di sua vista,",con paura che ho abbandonato la speranza
trad_divina_commedia_inferno_2_1.csv,ch'io perdei la speranza de l'altezza.,di salire sempre su quel pendio.
trad_divina_commedia_inferno_2_1.csv,"E qual è quei che volontieri acquista,",Così come colui che glorifica mentre guadagna
trad_divina_commedia_inferno_2_1.csv,"e giugne 'l tempo che perder lo face,","volontà, quando è giunto il momento di calcolare la perdita,"
trad_divina_commedia_inferno_2_1.csv,che 'n tutti suoi pensier piange e s'attrista;,"lamentarsi di ogni pensiero e di voltarsi scoraggiati,"
trad_divina_commedia_inferno_2_1.csv,"tal mi fece la bestia sanza pace,","così ero quando ho affrontato quella bestia irrequieta,"
trad_divina_commedia_inferno_2_1.csv,"che, venendomi 'ncontro, a poco a poco","che, anche mentre mi perseguitava, passo dopo passo"
trad_divina_commedia_inferno_2_1.csv,mi ripigneva là dove 'l sol tace.,mi aveva spinto a tornare dove il sole è senza parole.
trad_divina_commedia_inferno_2_1.csv,"Mentre ch'i' rovinava in basso loco,","Mentre mi ritiravo in basso,"
trad_divina_commedia_inferno_2_1.csv,dinanzi a li occhi mi si fu offerto,davanti ai miei occhi apparve all'improvviso
trad_divina_commedia_inferno_2_1.csv,chi per lungo silenzio parea fioco.,uno che sembrava svenire a causa del lungo silenzio.
trad_divina_commedia_inferno_2_1.csv,"Quando vidi costui nel gran diserto,","Quando l'ho visto in quel vasto deserto,"
trad_divina_commedia_inferno_2_1.csv,"“di me”, gridai a lui,","""Abbi pietà di me,"" furono le parole che gridai:"
trad_divina_commedia_inferno_2_1.csv,"“qual che tu sii, od ombra od omo certo!”.","""Qualunque cosa tu sia... un'ombra, un uomo."""
trad_divina_commedia_inferno_2_1.csv,"Rispuosemi: “Non omo, omo già fui,","Mi rispose: ""Non l'uomo; una volta ero uomo."
trad_divina_commedia_inferno_2_1.csv,"e li parenti miei furon lombardi,","Entrambi i miei genitori provenivano dalla Lombardia,"
trad_divina_commedia_inferno_2_1.csv,mantoani per patrïa ambedui.,ed entrambi hanno dichiarato Mantova come città natale.
trad_divina_commedia_inferno_2_1.csv,"Nacqui, ancor che fosse tardi,","E io sono nato, anche se in ritardo, sub julio,"
trad_divina_commedia_inferno_2_1.csv,e vissi a Roma sotto 'l buono Augusto,e viveva a Roma sotto il buon Augusto.
trad_divina_commedia_inferno_2_1.csv,nel tempo de li dèi falsi e bugiardi.,la stagione degli dei falsi e bugiardi.
trad_divina_commedia_inferno_2_1.csv,"Poeta fui, e cantai di quel giusto","Ero un poeta, e cantavo i giusti"
trad_divina_commedia_inferno_2_1.csv,"figliuol d'Anchise che venne di Troia,",figlio di Anchis che era venuto da Troia
trad_divina_commedia_inferno_2_1.csv,poi che 'l superbo Ilïón fu combusto.,quando le fiamme distrussero l'orgoglio dell'Ilio.
trad_divina_commedia_inferno_2_1.csv,Ma tu perché ritorni a tanta noia?,Ma perche' torni alla miseria?
trad_divina_commedia_inferno_2_1.csv,perché non sali il dilettoso monte,"Perché non salire la montagna della delizia,"
trad_divina_commedia_inferno_2_1.csv,ch'è principio e cagion di tutta gioia?”.,"l'origine e la causa di ogni gioia?"""
trad_divina_commedia_inferno_2_1.csv,“Or se' tu quel Virgilio e quella fonte,"""E allora sei tu quel Virgilio, tu la fontana"
trad_divina_commedia_inferno_2_1.csv,"che spandi di parlar sì largo fiume?”,","che versa liberamente così ricco un flusso di discorso?"""
trad_divina_commedia_inferno_2_1.csv,rispuos'io lui con vergognosa fronte.,Gli risposi con vergogna sulla mia fronte.
trad_divina_commedia_inferno_2_1.csv,"“O de li altri poeti onore e lume,","""O luce e onore di tutti gli altri poeti,"
trad_divina_commedia_inferno_2_1.csv,vagliami 'l lungo studio e 'l grande amore,che il mio lungo studio e l'amore intenso
trad_divina_commedia_inferno_2_1.csv,che m'ha fatto cercar lo tuo volume.,Questo mi ha fatto perquisire il tuo volume mi serve ora.
trad_divina_commedia_inferno_2_1.csv,"Tu se' lo mio maestro e 'l mio autore,","Tu sei il mio padrone e il mio autore, tu..."
trad_divina_commedia_inferno_2_1.csv,tu se' solo colui da cu' io tolsi,l'unico da cui la mia scrittura ha disegnato
trad_divina_commedia_inferno_2_1.csv,lo bello stilo che m'ha fatto onore.,lo stile nobile per cui ero stato onorato.
trad_divina_commedia_inferno_2_1.csv,Vedi la bestia per cu' io mi volsi;,Vedi la bestia che mi ha fatto voltare le spalle?
trad_divina_commedia_inferno_2_1.csv,"aiutami da lei, famoso saggio,","Aiutami, o salvia famosa, a stare contro di lei,"
trad_divina_commedia_inferno_2_1.csv,ch'ella mi fa tremar le vene e i polsi”.,"perché ha fatto rabbrividire il mio sangue e i miei impulsi."""
trad_divina_commedia_inferno_2_1.csv,"“A te convien tenere altro vïaggio”,","""E' un'altra strada che devi percorrere,"""
trad_divina_commedia_inferno_2_1.csv,"rispuose, poi che lagrimar mi vide,","rispose quando vide la mia lacrimazione,"
trad_divina_commedia_inferno_2_1.csv,“se vuo' campar d'esto loco selvaggio;,"""se tu volessi lasciare questo deserto selvaggio,"
trad_divina_commedia_inferno_2_1.csv,"ché questa bestia, per la qual tu gride,",la bestia che è la causa del tuo grido
trad_divina_commedia_inferno_2_1.csv,"non lascia altrui passar per la sua via,","non permette a nessun uomo di passare lungo la sua pista,"
trad_divina_commedia_inferno_2_1.csv,ma tanto lo 'mpedisce che l'uccide;,ma lo blocca fino al punto della morte;
trad_divina_commedia_inferno_2_1.csv,"e ha natura sì malvagia e ria,","la sua natura è così squallida, così malvagia"
trad_divina_commedia_inferno_2_1.csv,"che mai non empie la bramosa voglia,",che non potrà mai saziare la sua avida volontà;
trad_divina_commedia_inferno_2_1.csv,e dopo 'l pasto ha più fame che pria.,"quando si è nutrita, ha più fame che mai."
trad_divina_commedia_inferno_2_1.csv,"Molti son li animali a cui s'ammoglia,",Si accoppia con molte anime viventi e deve
trad_divina_commedia_inferno_2_1.csv,"e più saranno ancora, infin che 'l veltro","ancora si accoppiano con molti altri, fino al Levriero"
trad_divina_commedia_inferno_2_1.csv,"verrà, che la farà morir con doglia.","arriva, infliggendole una morte dolorosa."
trad_divina_commedia_inferno_2_1.csv,"Questi non ciberà terra né peltro,","Quel Levriero non si nutrirà mai di terra o di peltro,"
trad_divina_commedia_inferno_2_1.csv,"ma sapïenza, amore e virtute,","ma trova il suo prezzo nella sapienza, nell'amore e nella virtù;"
trad_divina_commedia_inferno_2_1.csv,e sua nazion sarà tra feltro e feltro.,il suo luogo di nascita sarà tra due feltro.
trad_divina_commedia_inferno_2_1.csv,Di quella umile Italia fia salute,Ripristinerà l'Italia a bassa quota
trad_divina_commedia_inferno_2_1.csv,"per cui morì la vergine Cammilla,","per la quale la cameriera Camilla morì di ferite,"
trad_divina_commedia_inferno_2_1.csv,Eurialo e Turno e Niso di ferute.,"e Niso, Turno ed Euryalus."
trad_divina_commedia_inferno_2_1.csv,"Questi la caccerà per ogne villa,",E caccerà quella bestia in ogni città
trad_divina_commedia_inferno_2_1.csv,"fin che l'avrà rimessa ne lo 'nferno,","finché non la spinge di nuovo all'Inferno,"
trad_divina_commedia_inferno_2_1.csv,là onde 'nvidia prima dipartilla.,da cui è stata mandata per la prima volta sopra per invidia.
trad_divina_commedia_inferno_2_1.csv,Ond'io per lo tuo me' penso e discerno,"Quindi, penso e giudico meglio per voi"
trad_divina_commedia_inferno_2_1.csv,"che tu mi segui, e io sarò tua guida,","per seguirmi, e io ti guiderò, prendendo"
trad_divina_commedia_inferno_2_1.csv,e trarrotti di qui per loco etterno;,"da questo luogo attraverso un luogo eterno,"
trad_divina_commedia_inferno_2_1.csv,"ove udirai le disperate strida,",dove udrete le urla della disperazione
trad_divina_commedia_inferno_2_1.csv,"vedrai li antichi spiriti dolenti,","e vedere gli spiriti antichi nel loro dolore,"
trad_divina_commedia_inferno_2_1.csv,ch'a la seconda morte ciascun grida;,come ciascuno di loro lamenta la sua seconda morte;
trad_divina_commedia_inferno_2_1.csv,e vederai color che son contenti,e vedrà quelle anime che sono contenti
trad_divina_commedia_inferno_2_1.csv,"nel foco, perché speran di venire","nel fuoco, perché sperano di raggiungere"
trad_divina_commedia_inferno_2_1.csv,quando che sia a le beate genti.,ogni volta che ciò sia per il popolo benedetto.
trad_divina_commedia_inferno_2_1.csv,"A le quai poi se tu vorrai salire,","Se poi saliste in alto come questi,"
trad_divina_commedia_inferno_2_1.csv,anima fia a ciò più di me degna:,"un'anima più degna di me vi guiderà,"
trad_divina_commedia_inferno_2_1.csv,con lei ti lascerò nel mio partire;,Ti lascero' nelle sue cure quando me ne andro'.
trad_divina_commedia_inferno_2_1.csv,"ché quello imperador che là sù regna,","perché l'imperatore che regna sopra,"
trad_divina_commedia_inferno_2_1.csv,"perch'i' fu' ribellante a la sua legge,","da quando sono stato ribelle ribelle alla sua legge,"
trad_divina_commedia_inferno_2_1.csv,non vuol che 'n sua città per me si vegna.,non mi permetterà di entrare nella Sua città.
trad_divina_commedia_inferno_2_1.csv,In tutte parti impera e quivi regge;,"Governa ovunque, ma da lì governa;"
trad_divina_commedia_inferno_2_1.csv,quivi è la sua città e l'alto seggio:,"c'è la Sua città, la Sua alta capitale:"
trad_divina_commedia_inferno_2_1.csv,oh felice colui cu' ivi elegge!”.,"o felici coloro che Lui sceglie di essere lì!"""
trad_divina_commedia_inferno_2_1.csv,"E io a lui: “Poeta, io ti richeggio","E io risposi: ""O poeta di Dio"
trad_divina_commedia_inferno_2_1.csv,"per quello Dio che tu non conoscesti,","che non avevi mai conosciuto, ti supplico,"
trad_divina_commedia_inferno_2_1.csv,"acciò ch'io fugga questo male e peggio,","perché io fugga da questo male e da questo male peggiore,"
trad_divina_commedia_inferno_2_1.csv,"che tu mi meni là dov'or dicesti,","per condurmi al luogo di cui hai parlato,"
trad_divina_commedia_inferno_2_1.csv,sì ch'io veggia la porta di san Pietro,per vedere la porta di San Pietro
trad_divina_commedia_inferno_2_1.csv,e color cui tu fai cotanto mesti”.,"e coloro che tu definisci tristi."""
trad_divina_commedia_inferno_2_1.csv,"Allor si mosse, e io li tenni dietro.",Poi se n'e' andato e io sono andata dietro di lui.
trad_divina_commedia_inferno_2_2.csv,"Lo giorno se n'andava, e l'aere bruno",Il giorno era ora in partenza; l'aria oscura
trad_divina_commedia_inferno_2_2.csv,toglieva li animai che sono in terra,liberati gli esseri viventi della terra
trad_divina_commedia_inferno_2_2.csv,da le fatiche loro; e io sol uno,dal lavoro e dalla stanchezza; e io stesso
trad_divina_commedia_inferno_2_2.csv,m'apparecchiava a sostener la guerra,solo preparato a subire la battaglia
trad_divina_commedia_inferno_2_2.csv,"sì del cammino e sì de la pietate,","sia del viaggio che della pietà,"
trad_divina_commedia_inferno_2_2.csv,che ritrarrà la mente che non erra.,"che la memoria, non sbagliando, deve mostrare."
trad_divina_commedia_inferno_2_2.csv,"O muse, o alto ingegno, or m'aiutate;","O Muse, o grande genio, aiutami ora;"
trad_divina_commedia_inferno_2_2.csv,"o mente che scrivesti ciò ch'io vidi,","o memoria che ha impostato quello che ho visto,"
trad_divina_commedia_inferno_2_2.csv,qui si parrà la tua nobilitate.,qui si rivelerà la tua eccellenza!
trad_divina_commedia_inferno_2_2.csv,"Io cominciai: “Poeta che mi guidi,","Ho iniziato: ""Poeta, tu che sei la mia guida,"
trad_divina_commedia_inferno_2_2.csv,"guarda la mia virtù s'ell' è possente,",vedere se la forza in me è abbastanza forte
trad_divina_commedia_inferno_2_2.csv,prima ch'a l'alto passo tu mi fidi.,prima che tu mi lasci affrontare quel passo robusto.
trad_divina_commedia_inferno_2_2.csv,"Tu dici che di Silvïo il parente,","Dici che colui che ha generato Sylvius,"
trad_divina_commedia_inferno_2_2.csv,"corruttibile ancora, ad immortale","mentre era ancora corruttibile, aveva viaggiato"
trad_divina_commedia_inferno_2_2.csv,"secolo andò, e fu sensibilmente.",nel mondo senza morte con il suo corpo vivo.
trad_divina_commedia_inferno_2_2.csv,"Però, se l'avversario d'ogne male","Perché, se il nemico di ogni male"
trad_divina_commedia_inferno_2_2.csv,"cortese i fu, pensando l'alto effetto","era cortese con lui, considerando"
trad_divina_commedia_inferno_2_2.csv,"ch'uscir dovea di lui, e 'l chi e 'l quale","tutto quello che avrebbe causato e chi e cosa era,"
trad_divina_commedia_inferno_2_2.csv,non pare indegno ad omo d'intelletto;,"che non sembra incomprensibile,"
trad_divina_commedia_inferno_2_2.csv,ch'e' fu de l'alma Roma e di suo impero,dal momento che nel paradiso empireo è stato scelto
trad_divina_commedia_inferno_2_2.csv,ne l'empireo ciel per padre eletto:,a padre onorato Roma e il suo impero;
trad_divina_commedia_inferno_2_2.csv,"la quale e 'l quale, a voler dir lo vero,","e se la verità fosse detta, Roma e il suo regno"
trad_divina_commedia_inferno_2_2.csv,fu stabilita per lo loco santo,"erano destinati a diventare il luogo sacro,"
trad_divina_commedia_inferno_2_2.csv,u' siede il successor del maggior Piero.,la sede del successore del grande Pietro.
trad_divina_commedia_inferno_2_2.csv,"Per quest'andata onde li dai tu vanto,","E attraverso il cammino gli attribuisci,"
trad_divina_commedia_inferno_2_2.csv,intese cose che furon cagione,è venuto a sapere di cose che dovevano portare
trad_divina_commedia_inferno_2_2.csv,di sua vittoria e del papale ammanto.,la sua vittoria e anche il mantello papale.
trad_divina_commedia_inferno_2_2.csv,"Andovvi poi lo Vas d'elezïone,","Più tardi il Vescovo Prescelto vi ha viaggiato,"
trad_divina_commedia_inferno_2_2.csv,per recarne conforto a quella fede,per riportarci la certezza di quella fede
